timestamp;energy_used;solar_produced
1577833200;1.475;0
1577836800;1.92;0
1577840400;1.669;0
1577844000;1.368;0
1577847600;1.393;0
1577851200;1.817;0
1577854800;1.678;0
1577858400;1.704;0
1577862000;1.816;0
1577865600;1.24;0.03
1577869200;1.499;0.11
1577872800;1.751;0.22
1577876400;1.619;0.38
1577880000;1.619;0.45
1577883600;3.167;0.28
1577887200;3.163;0.12
1577890800;3.759;0.01
1577894400;4.179;0
1577898000;2.731;0
1577901600;3.903;0
1577905200;2.714;0
1577908800;2.122;0
1577912400;1.941;0
1577916000;1.193;0
1577919600;2.001;0
1577923200;1.785;0
1577926800;1.713;0
1577930400;1.7;0
1577934000;1.817;0
1577937600;1.741;0
1577941200;1.998;0
1577944800;3.377;0
1577948400;2.826;0
1577952000;4.008;0
1577955600;2.137;0
1577959200;1.24;0
1577962800;1.235;0
1577966400;1.832;0
1577970000;1.597;0
1577973600;1.407;0
1577977200;2.366;0
1577980800;2.317;0
1577984400;2.585;0
1577988000;3.189;0
1577991600;1.516;0
1577995200;1.47;0
1577998800;1.404;0
1578002400;1.708;0
1578006000;1.372;0
1578009600;1.375;0
1578013200;1.479;0
1578016800;1.416;0
1578020400;1.401;0
1578024000;1.398;0
1578027600;1.537;0
1578031200;3.583;0
1578034800;2.727;0
1578038400;3.232;0.05
1578042000;3.467;0.1
1578045600;1.409;0.22
1578049200;1.608;0.25
1578052800;1.803;0.19
1578056400;1.635;0.2
1578060000;1.66;0.17
1578063600;2.013;0
1578067200;2.714;0
1578070800;2.302;0
1578074400;3.065;0
1578078000;2.827;0
1578081600;2.006;0
1578085200;1.567;0
1578088800;1.42;0
1578092400;1.383;0
1578096000;1.625;0
1578099600;1.59;0
1578103200;1.554;0
1578106800;1.595;0
1578110400;1.6;0
1578114000;1.581;0
1578117600;1.551;0
1578121200;1.575;0
1578124800;1.773;0.09
1578128400;2.662;0.55
1578132000;2.304;1.05
1578135600;1.388;1.07
1578139200;1.553;0.37
1578142800;1.698;0.17
1578146400;1.713;0.07
1578150000;1.956;0.01
1578153600;2.78;0
1578157200;1.414;0
1578160800;1.5;0
1578164400;1.605;0
1578168000;1.679;0
1578171600;1.559;0
1578175200;1.338;0
1578178800;1.462;0
1578182400;1.429;0
1578186000;1.379;0
1578189600;1.477;0
1578193200;1.488;0
1578196800;1.396;0
1578200400;1.356;0
1578204000;1.524;0
1578207600;1.561;0
1578211200;2.947;0.03
1578214800;3.111;0.13
1578218400;4.819;0.27
1578222000;2.049;0.27
1578225600;1.781;0.22
1578229200;1.347;0.19
1578232800;1.725;0.13
1578236400;2.64;0.02
1578240000;2.251;0
1578243600;1.501;0
1578247200;1.135;0
1578250800;1.166;0
1578254400;1.724;0
1578258000;2.278;0
1578261600;1.128;0
1578265200;1.447;0
1578268800;1.473;0
1578272400;1.434;0
1578276000;1.414;0
1578279600;1.459;0
1578283200;1.494;0
1578286800;1.793;0
1578290400;2.773;0
1578294000;3.727;0
1578297600;2.293;0.02
1578301200;1.404;0.18
1578304800;1.513;0.64
1578308400;1.329;1.6
1578312000;1.141;1.3
1578315600;1.119;1.07
1578319200;1.51;0.94
1578322800;1.614;0.11
1578326400;2.161;0
1578330000;1.531;0
1578333600;2.807;0
1578337200;2.055;0
1578340800;1.486;0
1578344400;1.157;0
1578348000;1.679;0
1578351600;1.429;0
1578355200;1.47;0
1578358800;1.373;0
1578362400;1.509;0
1578366000;1.355;0
1578369600;1.404;0
1578373200;1.544;0
1578376800;2.843;0
1578380400;2.623;0.01
1578384000;1.717;0.55
1578387600;1.248;1.2
1578391200;1.139;0.66
1578394800;2.295;1.45
1578398400;1.473;0.71
1578402000;1.123;0.3
1578405600;1.134;0.16
1578409200;1.342;0.02
1578412800;1.463;0
1578416400;1.869;0
1578420000;1.867;0
1578423600;2.194;0
1578427200;2.233;0
1578430800;1.26;0
1578434400;1.543;0
1578438000;1.375;0
1578441600;1.375;0
1578445200;1.404;0
1578448800;1.449;0
1578452400;1.363;0
1578456000;1.361;0
1578459600;1.444;0
1578463200;2.338;0
1578466800;2.429;0
1578470400;1.238;0.03
1578474000;1.151;0.26
1578477600;1.134;0.46
1578481200;1.134;0.48
1578484800;1.143;0.61
1578488400;1.164;0.36
1578492000;1.153;0.17
1578495600;1.687;0.01
1578499200;2.196;0
1578502800;1.525;0
1578506400;2.516;0
1578510000;2.338;0
1578513600;1.508;0
1578517200;1.285;0
1578520800;1.444;0
1578524400;1.351;0
1578528000;1.407;0
1578531600;1.389;0
1578535200;1.499;0
1578538800;1.355;0
1578542400;1.237;0
1578546000;1.228;0
1578549600;3.753;0
1578553200;2.48;0
1578556800;1.486;0.03
1578560400;1.389;0.1
1578564000;1.471;0.21
1578567600;1.607;0.24
1578571200;1.885;0.17
1578574800;1.284;0.08
1578578400;1.222;0.05
1578582000;1.237;0
1578585600;2.102;0
1578589200;1.574;0
1578592800;1.53;0
1578596400;3.27;0
1578600000;1.487;0
1578603600;1.164;0
1578607200;1.13;0
1578610800;1.468;0
1578614400;1.342;0
1578618000;1.127;0
1578621600;1.431;0
1578625200;1.366;0
1578628800;1.382;0
1578632400;1.467;0
1578636000;2.934;0
1578639600;2.852;0
1578643200;1.189;0.12
1578646800;3.863;0.6
1578650400;1.469;0.76
1578654000;1.149;1.28
1578657600;1.76;1.02
1578661200;1.279;0.67
1578664800;1.13;0.79
1578668400;1.18;0.1
1578672000;2.026;0
1578675600;3.083;0
1578679200;1.685;0
1578682800;1.498;0
1578686400;1.504;0
1578690000;1.243;0
1578693600;2.015;0
1578697200;1.509;0
1578700800;1.124;0
1578704400;1.436;0
1578708000;1.624;0
1578711600;1.26;0
1578715200;1.221;0
1578718800;1.84;0
1578722400;1.619;0
1578726000;1.839;0
1578729600;2.651;0.17
1578733200;3.073;0.54
1578736800;1.396;1.21
1578740400;1.267;1.32
1578744000;1.673;1.04
1578747600;1.801;0.81
1578751200;3.222;0.31
1578754800;3.21;0.08
1578758400;3.301;0
1578762000;3.325;0
1578765600;3.286;0
1578769200;3.274;0
1578772800;3.257;0
1578776400;4.067;0
1578780000;3.687;0
1578783600;3.392;0
1578787200;3.41;0
1578790800;3.436;0
1578794400;3.468;0
1578798000;3.339;0
1578801600;3.356;0
1578805200;3.476;0
1578808800;3.603;0
1578812400;5.046;0
1578816000;3.605;0.07
1578819600;5.219;0.12
1578823200;3.526;0.2
1578826800;3.379;0.17
1578830400;3.445;0.26
1578834000;3.515;0.34
1578837600;4.002;0.27
1578841200;3.416;0.03
1578844800;3.475;0
1578848400;3.542;0
1578852000;3.546;0
1578855600;3.446;0
1578859200;3.439;0
1578862800;3.35;0
1578866400;2.371;0
1578870000;1.418;0
1578873600;1.43;0
1578877200;3.17;0
1578880800;3.456;0
1578884400;1.832;0
1578888000;1.431;0
1578891600;1.935;0
1578895200;5.328;0
1578898800;5.042;0
1578902400;2.261;0.19
1578906000;1.494;0.44
1578909600;2.234;1.3
